,Shannon,Sobs,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Experiment,Date,Port,Pesticide.Sample,Neonictinoids,Organophosphates,Pyrethroids,Sample.time,AM.PM,Number,Vol.filtered.mL,Temp,Conductivity,Turbidity.NTU,Nitrates.mgL,DO,DO.mg.L,pH,Salinity,Total.vol.gal,Wind.direction,Wind.ms,H2O.use,cloud.cover,Ambient.temperature,SampleType,Dosing
BR1P036,1.6988394236560405,6.0,12663,4082,32.24,4067,4056,32.03,3302,26.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P037,1.6443682010622147,7.0,23883,7446,31.18,7434,7425,31.09,6305,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P038,1.4891547527926077,6.0,20282,7253,35.76,7243,7210,35.55,5588,27.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P039,1.3494440399906393,6.0,27270,8827,32.37,8815,8794,32.25,6449,23.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P040,1.7457690152933423,6.0,12012,3573,29.75,3562,3553,29.58,2886,24.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P041,1.7474317300131188,7.0,29456,10099,34.29,10084,10059,34.15,7853,26.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P042,1.732411069298252,7.0,18359,5674,30.91,5660,5640,30.72,4523,24.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P043,1.6215567899555694,6.0,24071,3771,15.67,3764,3733,15.51,2894,12.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P044,1.6283463133846703,7.0,33671,9579,28.45,9568,9507,28.23,7502,22.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P045,1.672755949514036,7.0,23820,5275,22.15,5238,5203,21.84,3637,15.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P046,1.7413570466785366,11.0,21515,6190,28.77,6171,6132,28.5,4740,22.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P047,1.7656062187033663,8.0,6414,2039,31.79,2028,1992,31.06,1642,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P048,1.9040211543033059,15.0,14098,4941,35.05,4929,4892,34.7,4138,29.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P049,1.6665224820564546,13.0,30848,11421,37.02,11393,11200,36.31,7990,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P050,1.9077665366291146,22.0,41985,14053,33.47,13981,13705,32.64,10074,23.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P051,1.820290918871787,13.0,22690,7226,31.85,7202,7131,31.43,6125,26.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P052,1.867238033271457,18.0,42780,15673,36.64,15619,15391,35.98,11729,27.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P053,1.7986061703557894,14.0,27771,8102,29.17,8051,7916,28.5,6175,22.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P054,1.8181233316642016,19.0,60402,19098,31.62,19060,18779,31.09,13814,22.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P056,1.9497240019598219,19.0,132127,42820,32.41,42688,42106,31.87,26977,20.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P057,2.0298294537214514,24.0,31735,10271,32.36,10229,10076,31.75,7971,25.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P058,1.6059713525594939,12.0,15375,4565,29.69,4541,4466,29.05,3408,22.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P059,1.7891374984069006,15.0,17866,6235,34.9,6223,6192,34.66,5123,28.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P060,1.9167839082786458,22.0,88102,31422,35.67,31347,30982,35.17,22946,26.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P061,1.798746124606705,12.0,36741,11085,30.17,11022,10932,29.75,8824,24.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P062,1.7496371412502851,8.0,18494,5774,31.22,5753,5687,30.75,4729,25.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P063,1.727086792092116,7.0,21257,2572,12.1,2564,2534,11.92,2202,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P064,1.8036150394815615,13.0,17222,4548,26.41,4537,4518,26.23,3923,22.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P065,1.8380578085682466,9.0,25813,7821,30.3,7794,7726,29.93,6011,23.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P066,1.7341006280940725,10.0,15368,4467,29.07,4459,4435,28.86,3922,25.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P067,1.8614648653745518,12.0,18132,6124,33.77,6116,6091,33.59,5346,29.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P068,1.749060829622402,7.0,12780,3281,25.67,3271,3233,25.3,2785,21.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P069,1.7331054399070687,7.0,17424,4311,24.74,4298,4260,24.45,3695,21.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P070,1.7035413799901744,7.0,13006,3023,23.24,3008,2975,22.87,2608,20.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P073,1.7719343706842645,11.0,16657,4330,26,4319,4274,25.66,3623,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P074,1.7709574031107849,11.0,22281,6335,28.43,6330,6277,28.17,5210,23.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P075,1.7361581817954852,7.0,16914,5462,32.29,5440,5390,31.87,4367,25.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P076,1.125477503287109,6.0,23047,7992,34.68,7976,7938,34.44,5940,25.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P077,1.4246786560476095,7.0,23819,8059,33.83,7997,7946,33.36,6266,26.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P079,1.7368372335935194,6.0,10806,2487,23.01,2475,2453,22.7,2170,20.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P080,1.8382903839148224,13.0,43232,14730,34.07,14714,14645,33.88,11904,27.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P081,1.7600857802506227,9.0,21997,7607,34.58,7599,7560,34.37,6456,29.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P082,1.5023122557990543,7.0,24787,7865,31.73,7847,7805,31.49,6525,26.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P083,1.566167422868896,6.0,18669,4945,26.49,4907,4887,26.18,4262,22.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P084,1.646255062756362,6.0,10796,2592,24.01,2586,2577,23.87,2304,21.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P085,1.7466731543745184,7.0,31048,8813,28.39,8795,8749,28.18,5781,18.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P086,1.73373827956861,6.0,4645,1449,31.19,1446,1439,30.98,1272,27.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P088,1.7521867802447406,6.0,10466,3727,35.61,3722,3708,35.43,3153,30.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P089,1.6918510330445455,7.0,18018,6563,36.42,6540,6514,36.15,5512,30.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P090,1.5429865332721535,6.0,25395,8326,32.79,8285,8218,32.36,6097,24.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P091,1.8444862120781096,14.0,54010,17500,32.4,17435,17327,32.08,12167,22.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P092,1.6988177706004497,8.0,7396,2561,34.63,2537,2520,34.07,1938,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P093,1.739576014205209,12.0,16173,2713,16.77,2706,2689,16.63,2357,14.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P094,1.8381753913243826,11.0,10168,2459,24.18,2452,2433,23.93,2089,20.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P095,1.8902590292638926,14.0,15726,4589,29.18,4587,4550,28.93,3914,24.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P096,1.9127897599506738,15.0,41631,9716,23.34,9694,9625,23.12,8074,19.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P097,1.8695000150723762,14.0,77196,20834,26.99,20770,20588,26.67,15147,19.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P098,1.8279523487543916,10.0,35755,8472,23.69,8454,8333,23.31,6365,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P099,1.763005436521967,7.0,9322,3397,36.44,3389,3353,35.97,2782,29.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P100,1.860270167871931,15.0,60524,9242,15.27,9095,8986,14.85,6869,11.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P101,1.9111856795678255,15.0,103278,32040,31.02,31934,31578,30.58,20625,19.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P102,1.9324767096953277,18.0,169072,64195,37.97,64034,63704,37.68,44627,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P103,1.770400886658955,15.0,23174,7714,33.29,7694,7644,32.99,5648,24.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P104,1.7997817811572416,11.0,17405,3966,22.79,3942,3903,22.42,3215,18.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P105,1.8166888012513283,14.0,24820,8978,36.17,8965,8917,35.93,7413,29.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P106,1.7843455314708772,8.0,25605,8608,33.62,8586,8561,33.43,6984,27.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P107,1.798056527441612,14.0,28559,9292,32.54,9269,9179,32.14,7084,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P109,1.829373820939219,11.0,29095,9229,31.72,9218,9165,31.5,7626,26.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P110,1.7029838761311096,6.0,11315,3566,31.52,3558,3528,31.18,3056,27.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P111,1.8727136207899557,11.0,14729,4105,27.87,4098,4079,27.69,3467,23.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P112,1.9345353381921553,14.0,7661,2316,30.23,2310,2284,29.81,1985,25.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P113,1.841208460976435,12.0,8789,2337,26.59,2335,2323,26.43,2085,23.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P114,1.7311757745200334,9.0,21481,6067,28.24,6060,6026,28.05,5362,24.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P115,1.8421795959355813,10.0,32912,10992,33.4,10981,10943,33.25,8103,24.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P116,1.647909013524817,6.0,8675,2719,31.34,2714,2708,31.22,2330,26.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P117,1.5774492038304022,6.0,11477,3395,29.58,3388,3382,29.47,3014,26.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P118,1.7356470704595675,6.0,20223,3249,16.07,3224,3204,15.84,2430,12.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P119,1.7266255200118727,6.0,8094,1908,23.57,1902,1895,23.41,1498,18.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P120,1.8034924164921375,12.0,43674,12383,28.35,12313,12074,27.65,9366,21.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P121,1.7416617063069277,7.0,16308,5246,32.17,5225,5219,32,4481,27.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P122,1.3356248501903651,6.0,18303,5778,31.57,5756,5740,31.36,4324,23.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P123,1.5666452973638532,6.0,15257,5675,37.2,5663,5654,37.06,4821,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P125,1.6870043930927885,6.0,15792,4375,27.7,4368,4344,27.51,3788,23.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P126,1.7090255732938406,7.0,18161,6068,33.41,6043,6026,33.18,5136,28.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P127,1.2619128509155169,8.0,47033,14599,31.04,14559,14509,30.85,10590,22.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P128,1.558457295146295,8.0,57024,18281,32.06,18261,18115,31.77,14441,25.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P129,1.4621989292927726,6.0,15420,4554,29.53,4548,4530,29.38,3649,23.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P130A,1.745189106056034,7.0,15915,2453,15.41,2447,2435,15.3,2060,12.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P130B,1.6973564154108216,7.0,18832,2593,13.77,2591,2577,13.68,2249,11.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P133,1.660285926919198,6.0,11193,2838,25.36,2833,2825,25.24,2397,21.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P135,1.7376412501638083,7.0,21414,4675,21.83,4673,4662,21.77,3942,18.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P136,2.256798731771094,22.0,20220,6338,31.35,6275,6102,30.18,4525,22.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P137,1.6490517694041547,6.0,21005,7624,36.3,7608,7578,36.08,6323,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P138,1.7028670537649653,7.0,28740,10745,37.39,10722,10703,37.24,9159,31.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P139,2.1148682378614443,10.0,23791,6594,27.72,6546,5693,23.93,4861,20.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P140,2.095930018674552,10.0,21039,5101,24.25,5070,4687,22.28,4431,21.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P141,2.14471440233234,10.0,17678,4418,24.99,4380,3753,21.23,3163,17.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1S1012,4.687460940425812,162.0,30040,6280,20.91,5120,2689,8.95,2516,8.38,Sampling,8/26/24,4.0,,,,,4:13 PM,PM,12.0,840.0,17.534,3.225,-0.35,0.52,1.2,0.11,7.24,1.7,401643.0,NE,3.0,,25.0,21.0,Sediment,Pre
BR1S1013,4.815675361643161,171.0,25667,5682,22.14,4718,2769,10.79,2606,10.15,Sampling,27-Aug,1.0,BR1_1_004,22.7,0.0,0.0,9:50 AM,AM,13.0,1800.0,16.957,3.089,-0.45,0.0,25.0,2.38,7.13,1.62,411177.0,SE,0.0,Y,40.0,18.0,Sediment,Pre
BR1S1014,4.793271119053958,196.0,39019,8068,20.68,6728,3609,9.25,3216,8.24,Sampling,27-Aug,4.0,BR1_4_004,24.4,0.0,0.0,9:50 AM,AM,14.0,660.0,16.9,3.116,8.2,0.0,1.3,0.13,7.13,1.64,411177.0,SE,0.0,Y,40.0,18.0,Sediment,Pre
BR1S1015,5.108582620350527,231.0,47199,9908,20.99,8259,4382,9.28,3903,8.27,Sampling,27-Aug,1.0,,,,,1:58 PM,PM,15.0,540.0,17.1,3.079,2.3,0.0,29.3,2.8,7.14,1.62,,,,,,,Sediment,Pre
BR1S1016,4.728560515553047,161.0,52718,5927,11.24,4799,2566,4.87,2231,4.23,Sampling,27-Aug,4.0,,,,,2:05 PM,PM,16.0,480.0,17.47,3.107,0.8,0.0,4.0,0.37,7.17,1.63,,,,,,,Sediment,Pre
BR1S1017,4.82625086270188,190.0,34454,7932,23.02,6569,3369,9.78,3136,9.1,Sampling,4-Sep,1.0,BR1_1_005,54.0,58.88,96.0,9:52 AM,AM,17.0,660.0,17.15,3.275,255.0,2300.0,12.6,1.2,7.04,1.72,432627.0,W,3.0,N,40.0,21.0,Sediment,Pre
BR1S1018,4.7943288327479205,170.0,32430,7040,21.71,5741,3011,9.28,2889,8.91,Sampling,4-Sep,4.0,BR1_4_005,61.0,43.0,95.276,9:52 AM,AM,18.0,480.0,17.3,3.255,15.55,6300.0,7.3,0.69,7.16,1.71,432627.0,W,3.0,N,40.0,21.0,Sediment,Pre
BR1S1019,4.40491438273758,110.0,25386,4798,18.9,3670,1901,7.49,1755,6.91,Sampling,4-Sep,1.0,,,,,2:27 PM,PM,19.0,480.0,17.333,3.22,1.5,0.0,9.8,0.94,7.16,1.69,435678.0,W,3.0,N,50.0,20.0,Sediment,Pre
BR1S1020,4.354148252792194,116.0,20219,3982,19.69,3159,1712,8.47,1622,8.02,Sampling,4-Sep,4.0,,,,,2:27 PM,PM,20.0,480.0,17.5,3.213,8.3,0.0,5.0,0.46,7.18,1.69,435678.0,W,3.0,N,50.0,20.0,Sediment,Pre
BR1S1021,5.020570516801021,226.0,32644,8695,26.64,7352,4283,13.12,3973,12.17,Sampling,5-Sep,1.0,BR1_1_006,50.0,49.0,95.505,10:07 AM,AM,21.0,1140.0,16.975,3.123,13.25,110.0,13.2,1.25,7.14,1.64,437856.0,NW,2.0,N,41.0,22.0,Sediment,Pre
BR1S1022,4.121511693654388,107.0,20879,4321,20.7,3612,2023,9.69,1874,8.98,Sampling,5-Sep,4.0,BR1_4_006,80.0,74.0,103.729,10:11 AM,AM,22.0,,17.24,3.178,12.3,37.0,2.6,0.23,7.17,1.64,437856.0,NW,2.0,N,41.0,22.0,Sediment,Pre
BR1S1023,5.0234085477103685,213.0,38204,8524,22.31,7147,4089,10.7,3859,10.1,Sampling,5-Sep,1.0,,,,,2:18 PM,PM,23.0,1380.0,17.359,3.099,-43.05,0.0,20.1,1.91,7.2,1.63,440431.0,W,3.0,N,33.0,22.0,Sediment,Pre
BR1S1024,3.566105322817087,84.0,18894,4833,25.58,4173,2996,15.86,2463,13.04,Sampling,5-Sep,4.0,,,,,2:21 PM,PM,24.0,360.0,17.55,3.164,-41.0,0.05,3.8,0.35,7.2,1.66,440431.0,W,3.0,N,33.0,22.0,Sediment,Pre
BR1S1025,4.880060588616343,199.0,41261,8749,21.2,7489,4407,10.68,4144,10.04,Sampling,9/23/24,1.0,BR1_1_007,32.0,81.525,133.924,9:56 AM,AM,25.0,600.0,17.354,3.273,-0.78,,11.5,1.07,7.1,1.72,453647.0,W,2.0,N,33.0,18.0,Sediment,Post
BR1S1026,4.881189072145331,197.0,32843,8115,24.71,6749,3814,11.61,3640,11.08,Sampling,9/23/24,4.0,BR1_4_007,3710.9,55.97,217.546,9:56 AM,AM,26.0,1080.0,18.2,3.061,298.64,178.0,21.0,1.95,7.59,1.6,453647.0,W,2.0,N,33.0,18.0,Sediment,Post
BR1S1027,4.144556664369412,85.0,14702,2651,18.03,2024,1130,7.69,1037,7.05,Sampling,9/23/24,1.0,,,,,2:04 PM,PM,27.0,1500.0,17.457,3.23,0.0,,6.8,0.65,7.16,1.6,457050.0,W,3.0,N,36.0,22.0,Sediment,Post
BR1S1028,4.660330247551229,149.0,29258,6026,20.6,4752,2268,7.75,2129,7.28,Sampling,9/23/24,4.0,,,,,2:04 PM,PM,28.0,240.0,17.968,3.246,7.86,5000.0,5.3,0.5,7.41,1.71,457050.0,W,3.0,N,36.0,22.0,Sediment,Post
BR1S1029,4.868934952680026,184.0,32482,8113,24.98,6551,3312,10.2,3022,9.3,Sampling,9/24/24,1.0,BR1_1_008,36.0,70.0,186.937,9:37 AM,AM,29.0,720.0,17.066,3.205,-0.37,0.46,12.5,1.19,7.17,1.69,457346.0,W,2.0,Y,41.0,20.0,Sediment,Post
BR1S1031,4.8203957322120985,175.0,37023,7883,21.29,6585,3463,9.35,3270,8.83,Sampling,9/24/24,1.0,,,,,2:15 PM,PM,31.0,600.0,17.533,3.205,-2.49,,14.3,1.36,7.19,1.68,457635.0,W,4.0,N,40.0,20.0,Sediment,Post
BR1S1032,4.39750754617671,116.0,16175,3872,23.94,2993,1644,10.16,1560,9.64,Sampling,9/24/24,4.0,,,,,2:20 PM,PM,32.0,300.0,17.39,3.241,811.0,,3.5,0.34,7.48,1.7,457635.0,W,4.0,N,40.0,20.0,Sediment,Post
BR1S1033,4.669822958885899,160.0,41577,8671,20.86,6941,2969,7.14,2667,6.41,Sampling,9/30/24,1.0,BR1_1_009,143.5999994,,0.0,9:44 AM,AM,33.0,360.0,17.3,3.311,4.6,0.0,13.0,1.24,7.12,1.72,460424.0,NW,2.0,N,11.0,20.0,Sediment,Post
BR1S1034,4.462518636643124,125.0,23631,4961,20.99,3842,1802,7.63,1709,7.23,Sampling,9/30/24,4.0,BR1_4_009,2378.099998,,31.52100038,9:44 AM,AM,34.0,720.0,17.4,3.305,4.66,0.0,12.4,1.15,7.44,1.72,460424.0,NW,2.0,N,11.0,20.0,Sediment,Post
BR1S1035,4.510553705910974,144.0,26554,5773,21.74,4671,2601,9.8,2330,8.77,Sampling,9/30/24,1.0,,,,,2:21 PM,PM,35.0,900.0,17.4,3.248,-0.21,83.17,9.1,0.87,7.17,1.69,463624.0,W,3.0,Y,0.0,26.0,Sediment,Post
BR1S1036,4.3777929130349,114.0,23684,4753,20.07,3658,1608,6.79,1485,6.27,Sampling,9/30/24,4.0,,,,,2:21 PM,PM,36.0,360.0,18.2,3.292,1398.0,89.05,8.2,0.76,7.33,1.71,463624.0,W,3.0,Y,0.0,26.0,Sediment,Post
BR1S1037,4.425097569669703,129.0,23970,4982,20.78,3921,1818,7.58,1589,6.63,Sampling,10/1/24,1.0,BR1_1_010,164.8999996,,0.0,9:47 AM,AM,37.0,,17.4,3.233,-0.32,103.4,13.8,1.29,7.13,1.68,464912.0,NW,1.0,N,0.0,26.0,Sediment,Post
BR1S1038,4.966433591671342,226.0,65166,11965,18.36,10056,5103,7.83,4336,6.65,Sampling,10/1/24,4.0,BR1_4_010,1347.700001,,11.69999981,9:47 AM,AM,38.0,300.0,16.5,3.266,8.0,98.74,4.5,0.27,7.23,1.68,464912.0,NW,1.0,N,0.0,26.0,Sediment,Post
BR1S1039,4.793319467451611,191.0,36853,8534,23.16,6811,3362,9.12,2798,7.59,Sampling,10/1/24,1.0,,,,,2:15 PM,PM,39.0,480.0,18.1,3.237,1.14,99.81,14.9,1.38,7.18,1.58,464912.0,W,4.0,N,5.0,27.0,Sediment,Post
BR1S1040,4.241542100406649,103.0,21493,4162,19.36,3024,1334,6.21,1190,5.54,Sampling,,4.0,,,,,2:15 PM,PM,40.0,180.0,18.0,3.264,5.0,96.99,12.5,0.94,7.28,1.69,464912.0,W,4.0,N,5.0,27.0,Sediment,Post
BR1S1041,4.807365877636615,199.0,37681,9228,24.49,7653,4150,11.01,3715,9.86,Sampling,10/7/24,1.0,BR1_1_011,16.5,0.0,0.0,10:00 AM,AM,41.0,1.08,17.4,2.832,17.27,88.19,13.2,1.25,7.13,1.74,465164.0,W,1.0,N,29.0,26.0,Sediment,Post
BR1S1042,5.182606332933418,272.0,66415,15164,22.83,13196,7764,11.69,7221,10.87,Sampling,10/7/24,4.0,BR1_4_011,3052.7,0.0,0.0,10:00 AM,AM,42.0,540.0,17.6,2.789,5.0,55.0,8.5,0.79,7.31,1.7,465164.0,W,1.0,N,29.0,26.0,Sediment,Post
BR1S1043,4.642470151553923,161.0,35206,6803,19.32,5654,3100,8.81,2742,7.79,Sampling,10/7/24,1.0,,,,,2:21 PM,PM,43.0,460.0,17.7,2.807,0.4,82.5,16.1,1.5,7.21,1.72,465168.0,W,4.0,N,16.0,26.0,Sediment,Post
BR1S1044,4.105173891181295,85.0,24223,3834,15.83,2869,1162,4.8,1080,4.46,Sampling,10/7/24,4.0,,,,,2:21 PM,PM,44.0,480.0,17.7,2.731,2.24,50.0,8.0,0.73,7.34,1.66,465168.0,W,4.0,N,16.0,26.0,Sediment,Post
BR1S1048,4.507755186130334,142.0,25471,5039,19.78,3701,1726,6.78,1589,6.24,Sampling,10/8/24,4.0,,,,,1:40 PM,PM,48.0,540.0,17.3,2.762,6.7,71.36,3.5,0.33,7.33,1.71,465283.0,W,3.0,N,8.0,21.0,Sediment,Post
Br1Spi1PreB000,4.633201460566701,160.0,23609,5021,21.27,3916,2626,11.12,2321,9.83,Spike In 1,9/10/24,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi1PreB001,4.690778720803004,188.0,28255,7400,26.19,5499,2645,9.36,2378,8.42,Spike In 1,9/10/24,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi1PreB002,4.864089177535684,201.0,23534,6339,26.94,5104,3606,15.32,3205,13.62,Spike In 1,9/10/24,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi1PreB003,3.5088199470079235,78.0,13868,3108,22.41,2402,1745,12.58,1435,10.35,Spike In 1,9/10/24,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi1PreS000,4.658488618474106,159.0,31965,7600,23.78,6107,2913,9.11,2703,8.46,Spike In 1,9/10/24,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi1PreS001,4.418816421487481,115.0,16818,4223,25.11,3349,1456,8.66,1368,8.13,Spike In 1,9/10/24,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi1PreS002,4.513475966183532,127.0,29154,5316,18.23,4149,2036,6.98,1862,6.39,Spike In 1,9/10/24,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi1PreS003,4.343279792470315,118.0,24336,5212,21.42,4060,1690,6.94,1612,6.62,Spike In 1,9/10/24,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi2PostB000,4.56257666842888,149.0,28443,4955,17.42,3682,2591,9.11,2359,8.29,Spike In 2,9/10/24,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi2PostB001,3.732470898103581,115.0,21734,4643,21.36,3606,2601,11.97,2414,11.11,Spike In 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi2PostB002,4.063342845581812,93.0,11441,2629,22.98,1795,1288,11.26,1138,9.95,Spike In 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi2PostB003,3.8750032331737065,130.0,20653,5553,26.89,4350,3239,15.68,2895,14.02,Spike In 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi2PostS000,4.444588608484732,145.0,18649,4948,26.53,4155,2777,14.89,2589,13.88,Spike In 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi2PostS001,4.019725008533381,102.0,20281,5363,26.44,4314,2285,11.27,2011,9.92,Spike In 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi2PostS002,4.439662513876548,125.0,22084,4883,22.11,3993,2393,10.84,2191,9.92,Spike In 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Br1Spi2PostS003,4.390861069977971,141.0,27542,6550,23.78,5251,2765,10.04,2454,8.91,Spike In 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Control14,2.3299220142296986,24.0,20064,6248,31.14,6181,5807,28.94,4089,20.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control15,2.182751816764816,19.0,19382,5957,30.73,5909,5733,29.58,4225,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
