,Shannon,Sobs,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Date,Year,SampleType,Dosing,Time,InfluentFlowgalpermin,WindSpeedmps,WindDirection,H2OUse,PercentCloudCover,Port,PSampleID,ImidAbsorbance,ImidConcentration,PyreAbsorbance,PyreConcentration,FilterVolmL,ConductivitymgL,TempC,Turbidityppm,Phosppm,Nitratesppm,DisO2ppm,Salinity,pH,avgImidppm,avgPyreppm,ImidConcentrationppm,PyreConcentrationppm,TurbidityppmSONDE,NitratesppmSONDE,DisO2ppmSONDE,SalinitySONDE,pHSONDE
B0095_S15,5.304427139273349,300.0,14771,13025,88.18,11915,7131,48.28,6159,41.7,7/15/19,2019,Water,Pre,17:00:00,0.0,3.3,SW,0,0.0,3,,,,,,35.0,1618,24.9,206.0,0.84,19.6,14.2,0.0,,0.191053,-0.037125,,,,,,,
B0096_S16,5.093156866460772,255.0,14176,12448,87.81,11646,7937,55.99,6735,47.51,7/15/19,2019,Water,Pre,17:00:00,0.0,3.3,SW,0,0.0,4,P_0056,0.349,0.15174,0.9115,-0.018,70.0,1022,24.3,75.0,1.26,26.0,4.2,0.0,,0.191053,-0.037125,,,,,,,
B0097_S17,5.321043464890628,316.0,14389,12628,87.76,11522,6623,46.03,5770,40.1,7/16/19,2019,Water,Pre,8:00:00,0.0,2.9,W,0,95.0,1,P_0057,0.2685,0.392544,0.9095,-0.00679,94.0,3781,18.6,117.0,1.02,17.0,7.3,2.0,,0.184502,-0.07492,,,,,,,
B0098_S18,4.396163666073154,139.0,5792,4999,86.31,4491,2909,50.22,2561,44.22,7/16/19,2019,Water,Pre,8:00:00,0.0,2.9,W,0,95.0,2,,,,,,70.0,1710,19.7,85.0,0.86,9.4,4.8,2.5,,0.184502,-0.07492,,,,,,,
B0099_S19,5.19542307349528,289.0,16713,14636,87.57,13429,8050,48.17,6879,41.16,7/16/19,2019,Water,Pre,8:00:00,0.0,2.9,W,0,95.0,3,,,,,,40.0,4196,20.4,228.0,1.37,9.4,7.1,3.0,,0.184502,-0.07492,,,,,,,
B0100_S20,5.337167369274294,307.0,21134,18834,89.12,17470,10723,50.74,9247,43.75,7/16/19,2019,Water,Pre,8:00:00,0.0,2.9,W,0,95.0,4,P_0058,0.419,-0.02354,0.9355,-0.14305,80.0,1444,18.7,94.0,0.88,12.0,6.0,3.0,,0.184502,-0.07492,,,,,,,
B0101_S21,5.028164770473966,262.0,15386,13074,84.97,11915,8546,55.54,7761,50.44,7/16/19,2019,Water,Pre,11:00:00,0.0,2.6,W,0,100.0,1,P_0059,0.358,0.12755,0.894,0.084542,68.0,1585,18.9,149.0,0.73,11.6,7.2,2.0,,0.1362595,0.0619445,,,,,,,
B0102_S22,5.0831922004792265,252.0,15621,13132,84.07,12073,7312,46.81,6312,40.41,7/16/19,2019,Water,Pre,11:00:00,0.0,2.6,W,0,100.0,2,,,,,,77.0,1630,20.3,74.0,0.91,12.8,4.1,2.0,,0.1362595,0.0619445,,,,,,,
B0103_S23,4.918887185463019,263.0,17194,15128,87.98,13987,9246,53.77,7486,43.54,7/16/19,2019,Water,Pre,11:00:00,0.0,2.6,W,0,100.0,3,,,,,,35.0,1610,20.8,186.0,0.92,5.0,8.2,2.5,,0.1362595,0.0619445,,,,,,,
B0104_S24,4.892989791131766,240.0,17475,14793,84.65,13966,9868,56.47,7972,45.62,7/16/19,2019,Water,Pre,11:00:00,0.0,2.6,W,0,100.0,4,P_0060,0.3515,0.144969,0.9015,0.039347,92.0,1620,20.0,67.0,0.71,7.2,4.8,3.0,,0.1362595,0.0619445,,,,,,,
B0105_S25,5.386481817005729,330.0,16903,14972,88.58,13787,8635,51.09,7507,44.41,7/16/19,2019,Water,Pre,14:00:00,0.0,3.9,W,0,0.0,1,P_0061,0.3135,0.252323,0.876,0.201192,58.0,1631,21.9,56.0,0.94,11.0,5.1,2.0,,0.172269,0.174533,,,,,,,
B0106_S26,5.158707891922617,300.0,19093,16338,85.57,15174,10093,52.86,8492,44.48,7/16/19,2019,Water,Pre,14:00:00,0.0,3.9,W,0,0.0,2,,,,,,50.0,1675,23.4,55.0,0.78,7.2,8.3,2.0,,0.172269,0.174533,,,,,,,
B0107_S27,5.334387675747503,327.0,20547,17935,87.29,16553,9890,48.13,8373,40.75,7/16/19,2019,Water,Pre,14:00:00,0.0,3.9,W,0,0.0,3,,,,,,31.0,1725,23.1,72.0,0.91,7.2,6.9,1.0,,0.172269,0.174533,,,,,,,
B0108_S28,4.954679493986964,229.0,11176,9439,84.46,8710,5443,48.7,4802,42.97,7/16/19,2019,Water,Pre,14:00:00,0.0,3.9,W,0,0.0,4,P_0062,0.3715,0.092215,0.884,0.147874,70.0,1576,22.2,94.0,0.8,8.4,3.8,2.0,,0.172269,0.174533,,,,,,,
B0109_S29,5.338155707349955,313.0,15639,13984,89.42,12777,7653,48.94,6385,40.83,7/16/19,2019,Water,Pre,17:00:00,0.0,3.5,SW,0,5.0,1,P_0063,0.3415,0.172294,1.004,-0.41907,65.0,1607,23.5,43.0,1.1,30.4,7.1,1.0,,0.161338,-0.482615,,,,,,,
B0112_S32,5.008215822491943,280.0,19395,17585,90.67,16648,11159,57.54,8912,45.95,7/16/19,2019,Water,Pre,17:00:00,0.0,3.5,SW,0,5.0,4,P_0064,0.3495,0.150382,1.0475,-0.54616,70.0,1622,23.2,59.0,0.79,12.0,5.0,0.0,,0.161338,-0.482615,,,,,,,
B0113_S33,5.286535001374156,333.0,19102,17089,89.46,15792,9741,50.99,8263,43.26,7/17/19,2019,Water,Pre,8:00:00,0.0,1.0,W,0,100.0,1,P_0065,0.3,0.292838,1.024,-0.48141,95.0,1572,18.5,87.0,1.77,5.6,5.1,2.5,,0.164302,-0.337015,,,,,,,
B0114_S34,4.833310078736295,271.0,22223,20051,90.23,18956,13415,60.37,10406,46.83,7/17/19,2019,Water,Pre,8:00:00,0.0,1.0,W,0,100.0,2,,,,,,64.0,1400,20.0,143.0,1.04,3.0,,3.0,,0.164302,-0.337015,,,,,,,
B0115_S35,5.372385975184824,332.0,18228,16240,89.09,14786,8516,46.72,7328,40.2,7/17/19,2019,Water,Pre,8:00:00,0.0,1.0,W,0,100.0,3,,,,,,25.0,1195,19.6,346.0,0.86,2.2,,3.0,,0.164302,-0.337015,,,,,,,
B0116_S36,4.793539353065158,262.0,18046,15938,88.32,14938,9789,54.24,7567,41.93,7/17/19,2019,Water,Pre,8:00:00,0.0,1.0,W,0,100.0,4,P_0066,0.394,0.035766,0.946,-0.19262,140.0,1612,20.5,53.0,0.99,3.8,3.0,3.5,,0.164302,-0.337015,,,,,,,
B0117_S37,5.260889568801055,330.0,22646,20088,88.7,18531,10989,48.53,9135,40.34,7/17/19,2019,Water,Pre,11:00:00,0.0,1.6,W,0,10.0,1,P_0067,0.3215,0.228916,1.0185,-0.46497,44.0,3424,21.4,129.0,0.97,3.4,3.5,2.0,,0.2376725,-0.497705,,,,,,,
B0118_S38,5.067465942082148,284.0,15059,13591,90.25,12452,7332,48.69,6137,40.75,7/17/19,2019,Water,Pre,11:00:00,0.0,1.6,W,0,10.0,2,,,,,,40.0,1420,22.2,137.0,0.76,2.8,4.0,2.0,,0.2376725,-0.497705,,,,,,,
B0119_S39,5.0660642827507445,297.0,17180,15358,89.39,13990,8915,51.89,7436,43.28,7/17/19,2019,Water,Pre,11:00:00,0.0,1.6,W,0,10.0,3,,,,,,25.0,1558,21.8,266.0,0.84,1.8,9.8,2.0,,0.2376725,-0.497705,,,,,,,
B0120_S40,4.844911783274302,254.0,17984,16237,90.29,15286,10423,57.96,8959,49.82,7/17/19,2019,Water,Pre,11:00:00,0.0,1.6,W,0,10.0,4,P_0068,0.3155,0.246429,1.0415,-0.53044,46.0,1377,21.7,104.0,0.88,0.2,4.9,2.0,,0.2376725,-0.497705,,,,,,,
B0121_S41,3.9720420180329334,193.0,11950,10541,88.21,9791,7149,59.82,5635,47.15,7/17/19,2019,Water,Pre,14:00:00,0.0,5.7,W,0,15.0,1,P_0069,0.2855,0.337815,0.9975,-0.39724,115.0,1521,23.3,42.0,1.25,1.7,6.0,2.0,,0.235348,-0.2006,,,,,,,
B0122_S42,4.312983370031427,201.0,16338,14588,89.29,13672,9791,59.93,6843,41.88,7/17/19,2019,Water,Pre,14:00:00,0.0,5.7,W,0,15.0,2,,,,,,45.0,1342,23.4,87.0,1.16,1.8,6.2,2.0,,0.235348,-0.2006,,,,,,,
B0123_S43,4.982529710955765,309.0,18922,17052,90.12,15878,11624,61.43,9940,52.53,7/17/19,2019,Water,Pre,14:00:00,0.0,5.7,W,0,15.0,3,,,,,,25.0,1517,23.1,197.0,1.1,1.1,12.5,1.0,,0.235348,-0.2006,,,,,,,
B0124_S44,4.262209841875304,205.0,13373,12021,89.89,11281,7951,59.46,5807,43.42,7/17/19,2019,Water,Pre,14:00:00,0.0,5.7,W,0,15.0,4,P_0070,0.356,0.132881,0.909,-0.00396,80.0,1503,22.2,52.0,1.03,3.4,5.9,1.0,,0.235348,-0.2006,,,,,,,
B0125_S45,5.185082989896183,283.0,13999,12311,87.94,11391,6799,48.57,5942,42.45,7/17/19,2019,Water,Pre,17:00:00,0.0,3.0,W,0,90.0,1,P_0071,0.3015,0.288272,1.0725,-0.60619,85.0,1551,23.5,81.0,1.14,7.5,5.5,2.0,,0.2549815,-0.65651,,,,,,,
B0126_S46,4.908716743215358,272.0,18362,16281,88.67,15168,10098,54.99,8038,43.78,7/17/19,2019,Water,Pre,17:00:00,0.0,3.0,W,0,90.0,2,,,,,,88.0,1553,23.9,146.0,0.86,1.4,5.2,1.0,,0.2549815,-0.65651,,,,,,,
B0127_S47,4.921950224808798,294.0,20471,18154,88.68,16856,11641,56.87,9704,47.4,7/17/19,2019,Water,Pre,17:00:00,0.0,3.0,W,0,90.0,3,,,,,,65.0,1516,24.4,50.0,0.76,0.4,13.8,2.0,,0.2549815,-0.65651,,,,,,,
B0128_S48,4.450808045342171,200.0,14098,12157,86.23,11437,7953,56.41,6579,46.67,7/17/19,2019,Water,Pre,17:00:00,0.0,3.0,W,0,90.0,4,P_0072,0.324,0.221691,1.1245,-0.70683,40.0,1548,21.9,62.0,1.59,0.2,3.5,1.0,,0.2549815,-0.65651,,,,,,,
B0129_S49,5.09885171411343,255.0,13157,11592,88.11,10530,5847,44.44,5020,38.15,7/18/19,2019,Water,Pre,8:00:00,200.0,0.0,,0,100.0,1,P_0073,0.285,0.339394,0.923,-0.08004,90.0,1632,21.0,57.0,1.51,3.0,5.5,2.0,7.4,0.1809055,0.0371835,,,,,,,
B0130_S50,5.01158166478457,294.0,23000,20346,88.46,18814,11565,50.28,8597,37.38,7/18/19,2019,Water,Pre,8:00:00,200.0,0.0,,0,100.0,2,,,,,,54.0,1721,22.8,121.0,1.92,1.6,7.1,2.0,7.3,0.1809055,0.0371835,,,,,,,
B0131_S51,5.357098786277639,347.0,27059,24147,89.24,22256,13396,49.51,11376,42.04,7/18/19,2019,Water,Pre,8:00:00,200.0,0.0,,0,100.0,3,,,,,,24.0,2894,23.0,385.0,1.1,3.6,,2.5,7.3,0.1809055,0.0371835,,,,,,,
B0132_S52,5.21329284375888,291.0,19651,17424,88.67,16103,9353,47.6,7880,40.1,7/18/19,2019,Water,Pre,8:00:00,200.0,0.0,,0,100.0,4,P_0074,0.3995,0.022417,0.883,0.154407,70.0,1584,22.3,94.0,0.31,2.0,4.1,2.0,7.3,0.1809055,0.0371835,,,,,,,
B0133_S53,5.380449348644699,315.0,16593,14674,88.43,13495,8073,48.65,6782,40.87,7/18/19,2019,Water,Pre,11:14:00,200.0,1.8,W,0,60.0,1,P_0075,0.349,0.15174,0.866,0.271336,50.0,1559,18.5,102.0,1.29,1.4,,1.5,7.4,0.1917785,-0.005997,,,,,,,
B0134_S54,5.103630592674205,314.0,19022,16621,87.38,15300,10016,52.65,8305,43.66,7/18/19,2019,Water,Pre,11:14:00,200.0,1.8,W,0,60.0,2,,,,,,45.0,1630,20.8,65.0,1.06,2.8,,1.0,7.8,0.1917785,-0.005997,,,,,,,
B0135_S55,5.28744096383686,314.0,16976,15107,88.99,13707,8831,52.02,7751,45.66,7/18/19,2019,Water,Pre,11:14:00,200.0,1.8,W,0,60.0,3,,,,,,25.0,1675,22.3,216.0,1.19,2.0,,1.0,7.3,0.1917785,-0.005997,,,,,,,
B0136_S56,4.420929709094912,191.0,14846,12998,87.55,11942,7743,52.16,5280,35.57,7/18/19,2019,Water,Pre,11:14:00,200.0,1.8,W,0,60.0,4,P_0076,0.3205,0.231817,0.967,-0.28333,70.0,1650,22.4,80.0,1.32,2.2,,1.5,7.3,0.1917785,-0.005997,,,,,,,
B0137_S57,5.130936724862027,301.0,17239,15454,89.65,14171,8184,47.47,6856,39.77,7/18/19,2019,Water,Pre,14:00:00,200.0,4.0,W,0,25.0,1,P_0077,0.2715,0.382726,1.0715,-0.60395,75.0,1344,24.7,59.0,1.74,3.4,,3.0,7.3,0.255138,-0.30818,,,,,,,
B0138_S58,4.933387712456543,265.0,15774,13860,87.87,12677,7441,47.17,6332,40.14,7/18/19,2019,Water,Pre,14:00:00,200.0,4.0,W,0,25.0,2,,,,,,55.0,1537,24.2,77.0,1.19,1.1,,2.0,7.3,0.255138,-0.30818,,,,,,,
B0139_S59,5.163960189139617,318.0,19556,17524,89.61,15970,9811,50.17,8408,42.99,7/18/19,2019,Water,Pre,14:00:00,200.0,4.0,W,0,25.0,3,,,,,,30.0,1539,24.5,134.0,1.29,2.3,,0.0,7.4,0.255138,-0.30818,,,,,,,
B0140_S60,5.038960945494743,261.0,16267,14260,87.66,13104,7941,48.82,6711,41.26,7/18/19,2019,Water,Pre,14:00:00,200.0,4.0,W,0,25.0,4,P_0078,0.358,0.12755,0.9105,-0.01241,110.0,2287,23.0,42.0,1.44,1.0,,0.0,7.5,0.255138,-0.30818,,,,,,,
B0141_S61,5.278553006644732,304.0,18046,16035,88.86,14715,8458,46.87,7257,40.21,7/18/19,2019,Water,Pre,17:00:00,200.0,5.0,W,0,90.0,1,P_0079,0.349,0.15174,1.0505,-0.55382,55.0,1549,23.0,67.0,1.59,2.5,,1.5,7.2,0.120691,-0.5487,,,,,,,
B0142_S62,4.780964511886799,239.0,15150,13406,88.49,12250,7437,49.09,5933,39.16,7/18/19,2019,Water,Pre,17:00:00,200.0,5.0,W,0,90.0,2,,,,,,70.0,1595,22.6,115.0,1.22,2.0,,1.0,7.2,0.120691,-0.5487,,,,,,,
B0143_S63,5.351351031597994,353.0,21095,18916,89.67,17601,12071,57.22,10962,51.96,7/18/19,2019,Water,Pre,17:00:00,200.0,5.0,W,0,90.0,3,,,,,,25.0,1621,22.5,407.0,1.23,1.8,,1.0,7.2,0.120691,-0.5487,,,,,,,
B0144_S64,5.2663070552313735,307.0,16298,14397,88.34,13414,9383,57.57,8651,53.08,7/18/19,2019,Water,Pre,17:00:00,200.0,5.0,W,0,90.0,4,P_0080,0.3725,0.089642,1.0465,-0.54358,55.0,1650,22.0,91.0,1.4,1.6,,1.0,7.5,0.120691,-0.5487,,,,,,,
B0146_S66,5.198244752435128,296.0,18708,16490,88.14,15296,10506,56.16,9351,49.98,7/19/19,2019,Water,Pre,8:00:00,53.0,2.0,W,6,100.0,2,,,,,,100.0,1547,15.9,55.0,1.39,28.8,5.3,2.0,7.4,0.058071,-0.56226,,,,,,,
B0147_S67,4.980288457242576,281.0,18155,16189,89.17,14949,10302,56.74,8704,47.94,7/19/19,2019,Water,Pre,8:00:00,53.0,2.0,W,6,100.0,3,,,,,,90.0,1558,17.0,71.0,1.25,31.8,5.6,2.0,7.6,0.058071,-0.56226,,,,,,,
B0148_S68,4.763796060010106,246.0,15874,14001,88.2,12997,9287,58.5,7953,50.1,7/19/19,2019,Water,Pre,8:00:00,53.0,2.0,W,6,100.0,4,P_0082,0.4985,-0.19049,1.0285,-0.49449,230.0,3451,15.8,22.0,1.29,17.4,10.0,1.0,7.8,0.058071,-0.56226,,,,,,,
B0149_S69,5.264474041404632,307.0,17059,15177,88.97,14047,9117,53.44,8042,47.14,7/19/19,2019,Water,Pre,11:10:00,25.9,3.0,W,0,100.0,1,P_0083,0.4365,-0.06302,0.9295,-0.11336,230.0,1614,15.1,3.0,1.36,47.6,3.8,1.0,7.4,0.082948,-0.224775,,,,,,,
B0150_S70,5.081442507393676,252.0,13714,12068,88.0,11072,7178,52.34,6261,45.65,7/19/19,2019,Water,Pre,11:10:00,25.9,3.0,W,0,100.0,2,,,,,,165.0,1560,15.5,16.0,1.93,42.2,2.8,1.5,7.4,0.082948,-0.224775,,,,,,,
B0151_S71,4.999503923829717,274.0,15556,13850,89.03,12647,8415,54.09,7216,46.39,7/19/19,2019,Water,Pre,11:10:00,25.9,3.0,W,0,100.0,3,,,,,,160.0,1611,16.1,11.0,0.09,25.5,5.9,0.5,7.5,0.082948,-0.224775,,,,,,,
B0153_S73,4.899907571849138,256.0,16491,14662,88.91,13698,9897,60.01,8520,51.66,7/19/19,2019,Water,Pre,14:00:00,23.7,4.1,NW,0,90.0,1,P_0085,0.366,0.106475,1.092,-0.64745,300.0,3944,18.0,0.0,1.71,55.2,6.3,1.5,7.4,0.0414675,-0.62,,,,,,,
B0154_S74,5.4154362723555565,346.0,20615,18176,88.17,17159,12961,62.87,11847,57.47,7/19/19,2019,Water,Pre,14:00:00,23.7,4.1,NW,0,90.0,2,,,,,,160.0,1603,17.6,6.0,1.52,64.4,4.5,2.0,7.4,0.0414675,-0.62,,,,,,,
B0155_S75,5.57775892246501,397.0,25049,22297,89.01,20782,15744,62.85,14276,56.99,7/19/19,2019,Water,Pre,14:00:00,23.7,4.1,NW,0,90.0,3,,,,,,210.0,1601,17.4,11.0,1.24,50.8,4.0,2.0,7.4,0.0414675,-0.62,,,,,,,
B0157_S77,5.264799058477381,299.0,14354,12694,88.44,11622,8770,61.1,7609,53.01,7/19/19,2019,Water,Pre,17:00:00,19.0,4.2,NW,0,65.0,1,P_0087,0.451,-0.09452,1.0595,-0.57604,300.0,2298,17.6,0.0,1.51,,7.7,2.5,7.4,-0.0176425,-0.333235,,,,,,,
B0158_S78,5.257207775019236,282.0,13552,11702,86.35,10795,7501,55.35,6821,50.33,7/19/19,2019,Water,Pre,17:00:00,19.0,4.2,NW,0,65.0,2,,,,,,200.0,1782,17.8,15.0,1.37,55.8,7.0,2.0,7.4,-0.0176425,-0.333235,,,,,,,
B0159_S79,5.402697487111507,340.0,16791,14686,87.46,13621,9366,55.78,8254,49.16,7/19/19,2019,Water,Pre,17:00:00,19.0,4.2,NW,0,65.0,3,,,,,,145.0,1508,18.1,8.0,1.13,61.2,3.6,0.0,7.5,-0.0176425,-0.333235,,,,,,,
B0160_S80,5.301852418412943,310.0,15944,13898,87.17,12825,9125,57.23,8461,53.07,7/19/19,2019,Water,Pre,17:00:00,19.0,4.2,NW,0,65.0,4,P_0088a,0.3845,0.059235,0.925,-0.09043,270.0,1567,17.6,11.0,1.14,59.4,7.5,0.0,7.4,-0.0176425,-0.333235,,,,,,,
B0389_S81,4.775049834346502,239.0,13153,11680,88.8,10859,7799,59.29,7000,53.22,9/10/19,2019,Water,Post,8:35:00,0.0,3.1,W,0,0.0,1,P_0169,0.77535,-0.11292,0.7742,-0.104,420.0,1696,21.0,8.0,1.43,12.8,3.9,2.0,7.6,-0.088125,-0.488235,,,,,,,
B0390_S82,4.959143756331597,260.0,13212,11553,87.44,10694,7597,57.5,6964,52.71,9/10/19,2019,Water,Post,8:35:00,0.0,3.1,W,0,0.0,2,,,,,,420.0,1675,22.0,2.0,1.11,17.4,1.2,2.0,7.5,-0.088125,-0.488235,,,,,,,
B0391_S83,5.203879290977814,275.0,12102,10583,87.45,9718,6857,56.66,6355,52.51,9/10/19,2019,Water,Post,8:35:00,0.0,3.1,W,0,0.0,3,,,,,,240.0,1653,22.0,18.0,1.03,14.2,3.3,1.0,7.6,-0.088125,-0.488235,,,,,,,
B0392_S84,5.21198025408552,290.0,13769,11788,85.61,10911,7748,56.27,7187,52.2,9/10/19,2019,Water,Post,8:35:00,0.0,3.1,W,0,0.0,4,P_0170,0.7386,-0.06333,0.9908,-0.87247,360.0,1654,23.0,10.0,0.76,14.0,4.0,2.0,7.6,-0.088125,-0.488235,,,,,,,
B0393_S85,4.7341569741423015,220.0,11743,10215,86.99,9503,6977,59.41,6228,53.04,9/10/19,2019,Water,Post,11:49:00,0.0,4.0,W,0,0.0,1,P_0171,0.78525,-0.12582,0.6158,2.728223,340.0,1725,22.0,2.0,1.3,16.2,3.1,2.0,7.6,-0.10618,1.79876,,,,,,,
B0394_S86,4.922361624453597,235.0,8805,7678,87.2,6989,4984,56.6,4606,52.31,9/10/19,2019,Water,Post,11:49:00,0.0,4.0,W,0,0.0,2,,,,,,340.0,1671,22.0,5.0,1.25,15.8,4.2,1.0,7.6,-0.10618,1.79876,,,,,,,
B0395_S87,5.185749221762073,294.0,14147,12278,86.79,11153,7443,52.61,6808,48.12,9/10/19,2019,Water,Post,11:49:00,0.0,4.0,W,0,0.0,3,,,,,,120.0,1630,23.0,20.0,1.01,13.8,4.4,2.0,7.6,-0.10618,1.79876,,,,,,,
B0396_S88,5.086622556438042,271.0,13250,11579,87.39,10649,7363,55.57,6802,51.34,9/10/19,2019,Water,Post,11:49:00,0.0,4.0,W,0,0.0,4,P_0172,0.75555,-0.08654,0.6925,0.869297,180.0,1729,22.0,22.0,1.18,11.0,4.3,2.0,7.6,-0.10618,1.79876,,,,,,,
B0397_S89,4.752228517683884,235.0,13997,12314,87.98,11431,8014,57.26,6927,49.49,9/10/19,2019,Water,Post,14:08:00,0.0,3.3,W,0,0.0,1,P_0173,0.75835,-0.09031,0.58335,3.99287,,1739,23.0,26.0,1.58,13.8,4.9,1.0,7.6,-0.096565,2.2973905,,,,,,,
B0398_S90,5.337685629379615,325.0,15643,13646,87.23,12576,9607,61.41,8955,57.25,9/10/19,2019,Water,Post,14:08:00,0.0,3.3,W,0,0.0,2,,,,,,120.0,1700,24.0,29.0,1.52,19.0,4.1,1.0,7.5,-0.096565,2.2973905,,,,,,,
B0399_S91,5.108985749117877,278.0,12713,11024,86.71,9940,6667,52.44,6059,47.66,9/10/19,2019,Water,Post,14:08:00,0.0,3.3,W,0,0.0,3,,,,,,55.0,1700,24.5,72.0,1.14,18.4,3.5,1.0,7.5,-0.096565,2.2973905,,,,,,,
B0400_S92,4.699660532243372,252.0,19982,17994,90.05,16798,12196,61.03,10157,50.83,9/10/19,2019,Water,Post,14:08:00,0.0,3.3,W,0,0.0,4,P_0174,0.7677,-0.10282,0.70965,0.601911,90.0,1756,24.5,57.0,1.21,14.4,3.9,0.0,7.5,-0.096565,2.2973905,,,,,,,
B0401_S93,4.6202069654136935,187.0,8856,7823,88.34,7168,4914,55.49,4313,48.7,9/10/19,2019,Water,Post,17:10:00,0.0,4.2,W,0,0.0,1,P_0175,0.80105,-0.14603,0.67825,1.125114,75.0,1666,23.0,46.0,1.86,7.5,8.3,2.0,7.5,-0.146,1.2049615,,,,,,,
B0402_S94,4.83624400870481,231.0,11871,10710,90.22,9801,6695,56.4,6098,51.37,9/10/19,2019,Water,Post,17:10:00,0.0,4.2,W,0,0.0,2,,,,,,60.0,1664,23.0,123.0,1.63,7.7,9.2,1.0,7.5,-0.146,1.2049615,,,,,,,
B0404_S96,4.645156946803397,219.0,13102,11747,89.66,10894,8076,61.64,7189,54.87,9/10/19,2019,Water,Post,17:10:00,0.0,4.2,W,0,0.0,4,P_0176,0.801,-0.14597,0.6702,1.284809,80.0,1574,23.0,45.0,1.31,9.4,7.3,0.0,7.6,-0.146,1.2049615,,,,,,,
B0405_S97,3.9934440967009994,141.0,5430,4826,88.88,4495,4199,77.33,3988,73.44,9/11/19,2019,Water,Post,8:15:00,29.6,1.6,E,3,100.0,1,P_0177,0.83615,-0.18926,0.70915,0.609136,900.0,1852,16.0,5.0,1.06,47.4,6.7,3.0,7.6,-0.160795,0.641263,,,,,,,
B0407_S99,4.308924538215291,182.0,10682,9423,88.21,8570,6349,59.44,5719,53.54,9/11/19,2019,Water,Post,8:15:00,29.6,1.6,E,3,100.0,3,,,,,,600.0,1702,19.0,26.0,1.03,33.9,2.0,1.0,7.6,-0.160795,0.641263,,,,,,,
B0410_S102,5.24739951816193,307.0,16401,14698,89.62,13277,9542,58.18,8762,53.42,9/11/19,2019,Water,Post,11:20:00,16.8,1.0,N,0,0.0,2,,,,,,300.0,1785,21.0,13.0,1.05,29.6,1.7,1.0,7.6,-0.158785,1.2095735,,,,,,,
B0411_S103,5.225389705390505,294.0,11533,10071,87.32,9082,6783,58.81,6472,56.12,9/11/19,2019,Water,Post,11:20:00,16.8,1.0,N,0,0.0,3,,,,,,360.0,1774,20.0,19.0,1.2,27.5,4.6,0.0,7.6,-0.158785,1.2095735,,,,,,,
B0412_S104,5.289210956175186,292.0,14280,12619,88.37,11566,8789,61.55,8348,58.46,9/11/19,2019,Water,Post,11:20:00,16.8,1.0,N,0,0.0,4,P_0180,0.8007,-0.14559,0.6619,1.46204,540.0,1715,17.0,5.0,0.95,20.5,3.8,0.0,7.6,-0.158785,1.2095735,,,,,,,
B0413_S105,4.826251131342113,213.0,9587,8310,86.68,7717,6121,63.85,5752,60.0,9/11/19,2019,Water,Post,14:00:00,14.5,4.3,W,0,0.0,1,P_0181,0.78005,-0.11907,0.599,3.336843,300.0,1593,20.2,0.0,1.19,25.8,7.0,2.0,7.5,-0.1229,2.307233,,,,,,,
B0414_S106,4.7348608520900175,208.0,8844,7736,87.47,7212,6186,69.95,6005,67.9,9/11/19,2019,Water,Post,14:00:00,14.5,4.3,W,0,0.0,2,,,,,,240.0,1688,23.0,11.0,1.17,23.7,4.8,3.0,7.5,-0.1229,2.307233,,,,,,,
B0415_S107,5.018720585304271,276.0,13606,12052,88.58,11101,8115,59.64,7328,53.86,9/11/19,2019,Water,Post,14:00:00,14.5,4.3,W,0,0.0,3,,,,,,360.0,1666,22.8,6.0,1.06,24.8,3.9,3.0,7.5,-0.1229,2.307233,,,,,,,
B0416_S108,5.1014148926183704,288.0,13231,11640,87.98,10587,8213,62.07,7722,58.36,9/11/19,2019,Water,Post,14:00:00,14.5,4.3,W,0,0.0,4,P_0182,0.78595,-0.12673,0.67055,1.277623,360.0,1657,21.5,0.0,0.83,22.3,1.7,4.0,7.5,-0.1229,2.307233,,,,,,,
B0417_S109,4.996430394229724,219.0,7796,6878,88.22,6292,4802,61.6,4531,58.12,9/11/19,2019,Water,Post,17:05:00,12.9,2.5,W,0,0.0,1,P_0183,0.8163,-0.16509,0.73945,0.225036,240.0,1842,18.0,14.0,1.38,21.5,8.7,2.0,7.6,-0.155025,0.6201195,,,,,,,
B0418_S110,5.021769777755065,237.0,9778,8370,85.6,7805,6065,62.03,5762,58.93,9/11/19,2019,Water,Post,17:05:00,12.9,2.5,W,0,0.0,2,,,,,,300.0,1747,21.0,27.0,1.19,20.9,4.8,2.0,7.5,-0.155025,0.6201195,,,,,,,
B0419_S111,5.047792633813791,244.0,9544,8360,87.59,7548,5539,58.04,5167,54.14,9/11/19,2019,Water,Post,17:05:00,12.9,2.5,W,0,0.0,3,,,,,,360.0,1750,22.0,16.0,1.11,21.9,2.3,2.0,7.4,-0.155025,0.6201195,,,,,,,
B0420_S112,4.650028239685689,225.0,14133,12511,88.52,11640,9001,63.69,8215,58.13,9/11/19,2019,Water,Post,17:05:00,12.9,2.5,W,0,0.0,4,P_0184,0.8002,-0.14496,0.68415,1.015203,900.0,1745,20.0,13.0,1.08,25.6,2.0,1.0,7.5,-0.155025,0.6201195,,,,,,,
