,Shannon,Sobs,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Date,Year,SampleType,Dosing,Time,InfluentFlowgalpermin,WindSpeedmps,WindDirection,H2OUse,PercentCloudCover,SamPortNum,PSampleID,ImidAbsorbance,ImidConcentration,PyreAbsorbance,PyreConcentration,FilterVolmL,ConductivitymgL,TempC,Turbidityppm,Phosppm,Nitratesppm,DisO2ppm,Salinity,pH,avgImidppm,avgPyreppm,ImidConcentrationppm,PyreConcentrationppm,TurbidityppmSONDE,NitratesppmSONDE,DisO2ppmSONDE,SalinitySONDE,pHSONDE
B0105_S25,5.386481817,330,16903,14972,88.58,13787,8635,51.09,7507,44.41,7/16/19,2019,Water,pre,14:00:00,0,3.9,W,0,0,1,P_0061,0.3135,0.252323,0.876,0.201192,58,1631,21.9,56,0.94,11,5.1,2,,0.172269,0.174533,,,,,,,
B0106_S26,5.158707892,300,19093,16338,85.57,15174,10093,52.86,8492,44.48,7/16/19,2019,Water,pre,14:00:00,0,3.9,W,0,0,2,,,,,,50,1675,23.4,55,0.78,7.2,8.3,2,,0.172269,0.174533,,,,,,,
B0107_S27,5.334387676,327,20547,17935,87.29,16553,9890,48.13,8373,40.75,7/16/19,2019,Water,pre,14:00:00,0,3.9,W,0,0,3,,,,,,31,1725,23.1,72,0.91,7.2,6.9,1,,0.172269,0.174533,,,,,,,
B0108_S28,4.954679494,229,11176,9439,84.46,8710,5443,48.7,4802,42.97,7/16/19,2019,Water,pre,14:00:00,0,3.9,W,0,0,4,P_0062,0.3715,0.092215,0.884,0.147874,70,1576,22.2,94,0.8,8.4,3.8,2,,0.172269,0.174533,,,,,,,
B0109_S29,5.338155707,313,15639,13984,89.42,12777,7653,48.94,6385,40.83,7/16/19,2019,Water,pre,17:00:00,0,3.5,SW,0,5,1,P_0063,0.3415,0.172294,1.004,-0.41907,65,1607,23.5,43,1.1,30.4,7.1,1,,0.161338,-0.482615,,,,,,,
B0112_S32,5.008215822,280,19395,17585,90.67,16648,11159,57.54,8912,45.95,7/16/19,2019,Water,pre,17:00:00,0,3.5,SW,0,5,4,P_0064,0.3495,0.150382,1.0475,-0.54616,70,1622,23.2,59,0.79,12,5,0,,0.161338,-0.482615,,,,,,,
B0113_S33,5.286535001,333,19102,17089,89.46,15792,9741,50.99,8263,43.26,7/17/19,2019,Water,pre,8:00:00,0,1,W,0,100,1,P_0065,0.3,0.292838,1.024,-0.48141,95,1572,18.5,87,1.77,5.6,5.1,2.5,,0.164302,-0.337015,,,,,,,
B0114_S34,4.833310079,271,22223,20051,90.23,18956,13415,60.37,10406,46.83,7/17/19,2019,Water,pre,8:00:00,0,1,W,0,100,2,,,,,,64,1400,20,143,1.04,3,,3,,0.164302,-0.337015,,,,,,,
B0115_S35,5.372385975,332,18228,16240,89.09,14786,8516,46.72,7328,40.2,7/17/19,2019,Water,pre,8:00:00,0,1,W,0,100,3,,,,,,25,1195,19.6,346,0.86,2.2,,3,,0.164302,-0.337015,,,,,,,
B0116_S36,4.793539353,262,18046,15938,88.32,14938,9789,54.24,7567,41.93,7/17/19,2019,Water,pre,8:00:00,0,1,W,0,100,4,P_0066,0.394,0.035766,0.946,-0.19262,140,1612,20.5,53,0.99,3.8,3,3.5,,0.164302,-0.337015,,,,,,,
B0117_S37,5.260889569,330,22646,20088,88.7,18531,10989,48.53,9135,40.34,7/17/19,2019,Water,pre,11:00:00,0,1.6,W,0,10,1,P_0067,0.3215,0.228916,1.0185,-0.46497,44,3424,21.4,129,0.97,3.4,3.5,2,,0.2376725,-0.497705,,,,,,,
B0118_S38,5.067465942,284,15059,13591,90.25,12452,7332,48.69,6137,40.75,7/17/19,2019,Water,pre,11:00:00,0,1.6,W,0,10,2,,,,,,40,1420,22.2,137,0.76,2.8,4,2,,0.2376725,-0.497705,,,,,,,
B0119_S39,5.066064283,297,17180,15358,89.39,13990,8915,51.89,7436,43.28,7/17/19,2019,Water,pre,11:00:00,0,1.6,W,0,10,3,,,,,,25,1558,21.8,266,0.84,1.8,9.8,2,,0.2376725,-0.497705,,,,,,,
B0120_S40,4.844911783,254,17984,16237,90.29,15286,10423,57.96,8959,49.82,7/17/19,2019,Water,pre,11:00:00,0,1.6,W,0,10,4,P_0068,0.3155,0.246429,1.0415,-0.53044,46,1377,21.7,104,0.88,0.2,4.9,2,,0.2376725,-0.497705,,,,,,,
B0121_S41,3.972042018,193,11950,10541,88.21,9791,7149,59.82,5635,47.15,7/17/19,2019,Water,pre,14:00:00,0,5.7,W,0,15,1,P_0069,0.2855,0.337815,0.9975,-0.39724,115,1521,23.3,42,1.25,1.7,6,2,,0.235348,-0.2006,,,,,,,
B0122_S42,4.31298337,201,16338,14588,89.29,13672,9791,59.93,6843,41.88,7/17/19,2019,Water,pre,14:00:00,0,5.7,W,0,15,2,,,,,,45,1342,23.4,87,1.16,1.8,6.2,2,,0.235348,-0.2006,,,,,,,
B0123_S43,4.982529711,309,18922,17052,90.12,15878,11624,61.43,9940,52.53,7/17/19,2019,Water,pre,14:00:00,0,5.7,W,0,15,3,,,,,,25,1517,23.1,197,1.1,1.1,12.5,1,,0.235348,-0.2006,,,,,,,
B0124_S44,4.262209842,205,13373,12021,89.89,11281,7951,59.46,5807,43.42,7/17/19,2019,Water,pre,14:00:00,0,5.7,W,0,15,4,P_0070,0.356,0.132881,0.909,-0.00396,80,1503,22.2,52,1.03,3.4,5.9,1,,0.235348,-0.2006,,,,,,,
B0125_S45,5.18508299,283,13999,12311,87.94,11391,6799,48.57,5942,42.45,7/17/19,2019,Water,pre,17:00:00,0,3,W,0,90,1,P_0071,0.3015,0.288272,1.0725,-0.60619,85,1551,23.5,81,1.14,7.5,5.5,2,,0.2549815,-0.65651,,,,,,,
B0126_S46,4.908716743,272,18362,16281,88.67,15168,10098,54.99,8038,43.78,7/17/19,2019,Water,pre,17:00:00,0,3,W,0,90,2,,,,,,88,1553,23.9,146,0.86,1.4,5.2,1,,0.2549815,-0.65651,,,,,,,
B0127_S47,4.921950225,294,20471,18154,88.68,16856,11641,56.87,9704,47.4,7/17/19,2019,Water,pre,17:00:00,0,3,W,0,90,3,,,,,,65,1516,24.4,50,0.76,0.4,13.8,2,,0.2549815,-0.65651,,,,,,,
B0128_S48,4.450808045,200,14098,12157,86.23,11437,7953,56.41,6579,46.67,7/17/19,2019,Water,pre,17:00:00,0,3,W,0,90,4,P_0072,0.324,0.221691,1.1245,-0.70683,40,1548,21.9,62,1.59,0.2,3.5,1,,0.2549815,-0.65651,,,,,,,
B0129_S49,5.098851714,255,13157,11592,88.11,10530,5847,44.44,5020,38.15,7/18/19,2019,Water,pre,8:00:00,200,0,,0,100,1,P_0073,0.285,0.339394,0.923,-0.08004,90,1632,21,57,1.51,3,5.5,2,7.4,0.1809055,0.0371835,,,,,,,
B0130_S50,5.011581665,294,23000,20346,88.46,18814,11565,50.28,8597,37.38,7/18/19,2019,Water,pre,8:00:00,200,0,,0,100,2,,,,,,54,1721,22.8,121,1.92,1.6,7.1,2,7.3,0.1809055,0.0371835,,,,,,,
B0131_S51,5.357098786,347,27059,24147,89.24,22256,13396,49.51,11376,42.04,7/18/19,2019,Water,pre,8:00:00,200,0,,0,100,3,,,,,,24,2894,23,385,1.1,3.6,,2.5,7.3,0.1809055,0.0371835,,,,,,,
B0132_S52,5.213292844,291,19651,17424,88.67,16103,9353,47.6,7880,40.1,7/18/19,2019,Water,pre,8:00:00,200,0,,0,100,4,P_0074,0.3995,0.022417,0.883,0.154407,70,1584,22.3,94,0.31,2,4.1,2,7.3,0.1809055,0.0371835,,,,,,,
B0133_S53,5.380449349,315,16593,14674,88.43,13495,8073,48.65,6782,40.87,7/18/19,2019,Water,pre,11:14:00,200,1.8,W,0,60,1,P_0075,0.349,0.15174,0.866,0.271336,50,1559,18.5,102,1.29,1.4,,1.5,7.4,0.1917785,-0.005997,,,,,,,
B0134_S54,5.103630593,314,19022,16621,87.38,15300,10016,52.65,8305,43.66,7/18/19,2019,Water,pre,11:14:00,200,1.8,W,0,60,2,,,,,,45,1630,20.8,65,1.06,2.8,,1,7.8,0.1917785,-0.005997,,,,,,,
B0135_S55,5.287440964,314,16976,15107,88.99,13707,8831,52.02,7751,45.66,7/18/19,2019,Water,pre,11:14:00,200,1.8,W,0,60,3,,,,,,25,1675,22.3,216,1.19,2,,1,7.3,0.1917785,-0.005997,,,,,,,
B0136_S56,4.420929709,191,14846,12998,87.55,11942,7743,52.16,5280,35.57,7/18/19,2019,Water,pre,11:14:00,200,1.8,W,0,60,4,P_0076,0.3205,0.231817,0.967,-0.28333,70,1650,22.4,80,1.32,2.2,,1.5,7.3,0.1917785,-0.005997,,,,,,,
B0137_S57,5.130936725,301,17239,15454,89.65,14171,8184,47.47,6856,39.77,7/18/19,2019,Water,pre,14:00:00,200,4,W,0,25,1,P_0077,0.2715,0.382726,1.0715,-0.60395,75,1344,24.7,59,1.74,3.4,,3,7.3,0.255138,-0.30818,,,,,,,
B0138_S58,4.933387712,265,15774,13860,87.87,12677,7441,47.17,6332,40.14,7/18/19,2019,Water,pre,14:00:00,200,4,W,0,25,2,,,,,,55,1537,24.2,77,1.19,1.1,,2,7.3,0.255138,-0.30818,,,,,,,
B0139_S59,5.163960189,318,19556,17524,89.61,15970,9811,50.17,8408,42.99,7/18/19,2019,Water,pre,14:00:00,200,4,W,0,25,3,,,,,,30,1539,24.5,134,1.29,2.3,,0,7.4,0.255138,-0.30818,,,,,,,
B0140_S60,5.038960945,261,16267,14260,87.66,13104,7941,48.82,6711,41.26,7/18/19,2019,Water,pre,14:00:00,200,4,W,0,25,4,P_0078,0.358,0.12755,0.9105,-0.01241,110,2287,23,42,1.44,1,,0,7.5,0.255138,-0.30818,,,,,,,
B0141_S61,5.278553007,304,18046,16035,88.86,14715,8458,46.87,7257,40.21,7/18/19,2019,Water,pre,17:00:00,200,5,W,0,90,1,P_0079,0.349,0.15174,1.0505,-0.55382,55,1549,23,67,1.59,2.5,,1.5,7.2,0.120691,-0.5487,,,,,,,
B0142_S62,4.780964512,239,15150,13406,88.49,12250,7437,49.09,5933,39.16,7/18/19,2019,Water,pre,17:00:00,200,5,W,0,90,2,,,,,,70,1595,22.6,115,1.22,2,,1,7.2,0.120691,-0.5487,,,,,,,
B0143_S63,5.351351032,353,21095,18916,89.67,17601,12071,57.22,10962,51.96,7/18/19,2019,Water,pre,17:00:00,200,5,W,0,90,3,,,,,,25,1621,22.5,407,1.23,1.8,,1,7.2,0.120691,-0.5487,,,,,,,
B0144_S64,5.266307055,307,16298,14397,88.34,13414,9383,57.57,8651,53.08,7/18/19,2019,Water,pre,17:00:00,200,5,W,0,90,4,P_0080,0.3725,0.089642,1.0465,-0.54358,55,1650,22,91,1.4,1.6,,1,7.5,0.120691,-0.5487,,,,,,,
B0146_S66,5.198244752,296,18708,16490,88.14,15296,10506,56.16,9351,49.98,7/19/19,2019,Water,pre,8:00:00,53,2,W,6,100,2,,,,,,100,1547,15.9,55,1.39,28.8,5.3,2,7.4,0.058071,-0.56226,,,,,,,
B0147_S67,4.980288457,281,18155,16189,89.17,14949,10302,56.74,8704,47.94,7/19/19,2019,Water,pre,8:00:00,53,2,W,6,100,3,,,,,,90,1558,17,71,1.25,31.8,5.6,2,7.6,0.058071,-0.56226,,,,,,,
B0148_S68,4.76379606,246,15874,14001,88.2,12997,9287,58.5,7953,50.1,7/19/19,2019,Water,pre,8:00:00,53,2,W,6,100,4,P_0082,0.4985,-0.19049,1.0285,-0.49449,230,3451,15.8,22,1.29,17.4,10,1,7.8,0.058071,-0.56226,,,,,,,
B0149_S69,5.264474041,307,17059,15177,88.97,14047,9117,53.44,8042,47.14,7/19/19,2019,Water,pre,11:10:00,25.9,3,W,0,100,1,P_0083,0.4365,-0.06302,0.9295,-0.11336,230,1614,15.1,3,1.36,47.6,3.8,1,7.4,0.082948,-0.224775,,,,,,,
B0150_S70,5.081442507,252,13714,12068,88,11072,7178,52.34,6261,45.65,7/19/19,2019,Water,pre,11:10:00,25.9,3,W,0,100,2,,,,,,165,1560,15.5,16,1.93,42.2,2.8,1.5,7.4,0.082948,-0.224775,,,,,,,
B0151_S71,4.999503924,274,15556,13850,89.03,12647,8415,54.09,7216,46.39,7/19/19,2019,Water,pre,11:10:00,25.9,3,W,0,100,3,,,,,,160,1611,16.1,11,0.09,25.5,5.9,0.5,7.5,0.082948,-0.224775,,,,,,,
B0153_S73,4.899907572,256,16491,14662,88.91,13698,9897,60.01,8520,51.66,7/19/19,2019,Water,pre,14:00:00,23.7,4.1,NW,0,90,1,P_0085,0.366,0.106475,1.092,-0.64745,300,3944,18,0,1.71,55.2,6.3,1.5,7.4,0.0414675,-0.62,,,,,,,
B0154_S74,5.415436272,346,20615,18176,88.17,17159,12961,62.87,11847,57.47,7/19/19,2019,Water,pre,14:00:00,23.7,4.1,NW,0,90,2,,,,,,160,1603,17.6,6,1.52,64.4,4.5,2,7.4,0.0414675,-0.62,,,,,,,
B0155_S75,5.577758922,397,25049,22297,89.01,20782,15744,62.85,14276,56.99,7/19/19,2019,Water,pre,14:00:00,23.7,4.1,NW,0,90,3,,,,,,210,1601,17.4,11,1.24,50.8,4,2,7.4,0.0414675,-0.62,,,,,,,
B0157_S77,5.264799058,299,14354,12694,88.44,11622,8770,61.1,7609,53.01,7/19/19,2019,Water,pre,17:00:00,19,4.2,NW,0,65,1,P_0087,0.451,-0.09452,1.0595,-0.57604,300,2298,17.6,0,1.51,,7.7,2.5,7.4,-0.0176425,-0.333235,,,,,,,
B0158_S78,5.257207775,282,13552,11702,86.35,10795,7501,55.35,6821,50.33,7/19/19,2019,Water,pre,17:00:00,19,4.2,NW,0,65,2,,,,,,200,1782,17.8,15,1.37,55.8,7,2,7.4,-0.0176425,-0.333235,,,,,,,
B0159_S79,5.402697487,340,16791,14686,87.46,13621,9366,55.78,8254,49.16,7/19/19,2019,Water,pre,17:00:00,19,4.2,NW,0,65,3,,,,,,145,1508,18.1,8,1.13,61.2,3.6,0,7.5,-0.0176425,-0.333235,,,,,,,
B0160_S80,5.301852418,310,15944,13898,87.17,12825,9125,57.23,8461,53.07,7/19/19,2019,Water,pre,17:00:00,19,4.2,NW,0,65,4,P_0088a,0.3845,0.059235,0.925,-0.09043,270,1567,17.6,11,1.14,59.4,7.5,0,7.4,-0.0176425,-0.333235,,,,,,,
B0389_S81,4.775049834,239,13153,11680,88.8,10859,7799,59.29,7000,53.22,9/10/19,2019,Water,post,8:35:00,0,3.1,W,0,0,1,P_0169,0.77535,-0.11292,0.7742,-0.104,420,1696,21,8,1.43,12.8,3.9,2,7.6,-0.088125,-0.488235,,,,,,,
B0390_S82,4.959143756,260,13212,11553,87.44,10694,7597,57.5,6964,52.71,9/10/19,2019,Water,post,8:35:00,0,3.1,W,0,0,2,,,,,,420,1675,22,2,1.11,17.4,1.2,2,7.5,-0.088125,-0.488235,,,,,,,
B0391_S83,5.203879291,275,12102,10583,87.45,9718,6857,56.66,6355,52.51,9/10/19,2019,Water,post,8:35:00,0,3.1,W,0,0,3,,,,,,240,1653,22,18,1.03,14.2,3.3,1,7.6,-0.088125,-0.488235,,,,,,,
B0392_S84,5.211980254,290,13769,11788,85.61,10911,7748,56.27,7187,52.2,9/10/19,2019,Water,post,8:35:00,0,3.1,W,0,0,4,P_0170,0.7386,-0.06333,0.9908,-0.87247,360,1654,23,10,0.76,14,4,2,7.6,-0.088125,-0.488235,,,,,,,
B0393_S85,4.734156974,220,11743,10215,86.99,9503,6977,59.41,6228,53.04,9/10/19,2019,Water,post,11:49:00,0,4,W,0,0,1,P_0171,0.78525,-0.12582,0.6158,2.728223,340,1725,22,2,1.3,16.2,3.1,2,7.6,-0.10618,1.79876,,,,,,,
B0394_S86,4.922361624,235,8805,7678,87.2,6989,4984,56.6,4606,52.31,9/10/19,2019,Water,post,11:49:00,0,4,W,0,0,2,,,,,,340,1671,22,5,1.25,15.8,4.2,1,7.6,-0.10618,1.79876,,,,,,,
B0395_S87,5.185749222,294,14147,12278,86.79,11153,7443,52.61,6808,48.12,9/10/19,2019,Water,post,11:49:00,0,4,W,0,0,3,,,,,,120,1630,23,20,1.01,13.8,4.4,2,7.6,-0.10618,1.79876,,,,,,,
B0396_S88,5.086622556,271,13250,11579,87.39,10649,7363,55.57,6802,51.34,9/10/19,2019,Water,post,11:49:00,0,4,W,0,0,4,P_0172,0.75555,-0.08654,0.6925,0.869297,180,1729,22,22,1.18,11,4.3,2,7.6,-0.10618,1.79876,,,,,,,
B0397_S89,4.752228518,235,13997,12314,87.98,11431,8014,57.26,6927,49.49,9/10/19,2019,Water,post,14:08:00,0,3.3,W,0,0,1,P_0173,0.75835,-0.09031,0.58335,3.99287,,1739,23,26,1.58,13.8,4.9,1,7.6,-0.096565,2.2973905,,,,,,,
B0398_S90,5.337685629,325,15643,13646,87.23,12576,9607,61.41,8955,57.25,9/10/19,2019,Water,post,14:08:00,0,3.3,W,0,0,2,,,,,,120,1700,24,29,1.52,19,4.1,1,7.5,-0.096565,2.2973905,,,,,,,
B0399_S91,5.108985749,278,12713,11024,86.71,9940,6667,52.44,6059,47.66,9/10/19,2019,Water,post,14:08:00,0,3.3,W,0,0,3,,,,,,55,1700,24.5,72,1.14,18.4,3.5,1,7.5,-0.096565,2.2973905,,,,,,,
B0400_S92,4.699660532,252,19982,17994,90.05,16798,12196,61.03,10157,50.83,9/10/19,2019,Water,post,14:08:00,0,3.3,W,0,0,4,P_0174,0.7677,-0.10282,0.70965,0.601911,90,1756,24.5,57,1.21,14.4,3.9,0,7.5,-0.096565,2.2973905,,,,,,,
B0401_S93,4.620206965,187,8856,7823,88.34,7168,4914,55.49,4313,48.7,9/10/19,2019,Water,post,17:10:00,0,4.2,W,0,0,1,P_0175,0.80105,-0.14603,0.67825,1.125114,75,1666,23,46,1.86,7.5,8.3,2,7.5,-0.146,1.2049615,,,,,,,
B0402_S94,4.836244009,231,11871,10710,90.22,9801,6695,56.4,6098,51.37,9/10/19,2019,Water,post,17:10:00,0,4.2,W,0,0,2,,,,,,60,1664,23,123,1.63,7.7,9.2,1,7.5,-0.146,1.2049615,,,,,,,
B0404_S96,4.645156947,219,13102,11747,89.66,10894,8076,61.64,7189,54.87,9/10/19,2019,Water,post,17:10:00,0,4.2,W,0,0,4,P_0176,0.801,-0.14597,0.6702,1.284809,80,1574,23,45,1.31,9.4,7.3,0,7.6,-0.146,1.2049615,,,,,,,
B0405_S97,3.993444097,141,5430,4826,88.88,4495,4199,77.33,3988,73.44,9/11/19,2019,Water,post,8:15:00,29.6,1.6,E,3,100,1,P_0177,0.83615,-0.18926,0.70915,0.609136,900,1852,16,5,1.06,47.4,6.7,3,7.6,-0.160795,0.641263,,,,,,,
B0407_S99,4.308924538,182,10682,9423,88.21,8570,6349,59.44,5719,53.54,9/11/19,2019,Water,post,8:15:00,29.6,1.6,E,3,100,3,,,,,,600,1702,19,26,1.03,33.9,2,1,7.6,-0.160795,0.641263,,,,,,,
B0410_S102,5.247399518,307,16401,14698,89.62,13277,9542,58.18,8762,53.42,9/11/19,2019,Water,post,11:20:00,16.8,1,N,0,0,2,,,,,,300,1785,21,13,1.05,29.6,1.7,1,7.6,-0.158785,1.2095735,,,,,,,
B0411_S103,5.225389705,294,11533,10071,87.32,9082,6783,58.81,6472,56.12,9/11/19,2019,Water,post,11:20:00,16.8,1,N,0,0,3,,,,,,360,1774,20,19,1.2,27.5,4.6,0,7.6,-0.158785,1.2095735,,,,,,,
B0412_S104,5.289210956,292,14280,12619,88.37,11566,8789,61.55,8348,58.46,9/11/19,2019,Water,post,11:20:00,16.8,1,N,0,0,4,P_0180,0.8007,-0.14559,0.6619,1.46204,540,1715,17,5,0.95,20.5,3.8,0,7.6,-0.158785,1.2095735,,,,,,,
B0413_S105,4.826251131,213,9587,8310,86.68,7717,6121,63.85,5752,60,9/11/19,2019,Water,post,14:00:00,14.5,4.3,W,0,0,1,P_0181,0.78005,-0.11907,0.599,3.336843,300,1593,20.2,0,1.19,25.8,7,2,7.5,-0.1229,2.307233,,,,,,,
B0414_S106,4.734860852,208,8844,7736,87.47,7212,6186,69.95,6005,67.9,9/11/19,2019,Water,post,14:00:00,14.5,4.3,W,0,0,2,,,,,,240,1688,23,11,1.17,23.7,4.8,3,7.5,-0.1229,2.307233,,,,,,,
B0415_S107,5.018720585,276,13606,12052,88.58,11101,8115,59.64,7328,53.86,9/11/19,2019,Water,post,14:00:00,14.5,4.3,W,0,0,3,,,,,,360,1666,22.8,6,1.06,24.8,3.9,3,7.5,-0.1229,2.307233,,,,,,,
B0416_S108,5.101414893,288,13231,11640,87.98,10587,8213,62.07,7722,58.36,9/11/19,2019,Water,post,14:00:00,14.5,4.3,W,0,0,4,P_0182,0.78595,-0.12673,0.67055,1.277623,360,1657,21.5,0,0.83,22.3,1.7,4,7.5,-0.1229,2.307233,,,,,,,
B0417_S109,4.996430394,219,7796,6878,88.22,6292,4802,61.6,4531,58.12,9/11/19,2019,Water,post,17:05:00,12.9,2.5,W,0,0,1,P_0183,0.8163,-0.16509,0.73945,0.225036,240,1842,18,14,1.38,21.5,8.7,2,7.6,-0.155025,0.6201195,,,,,,,
B0418_S110,5.021769778,237,9778,8370,85.6,7805,6065,62.03,5762,58.93,9/11/19,2019,Water,post,17:05:00,12.9,2.5,W,0,0,2,,,,,,300,1747,21,27,1.19,20.9,4.8,2,7.5,-0.155025,0.6201195,,,,,,,
B0419_S111,5.047792634,244,9544,8360,87.59,7548,5539,58.04,5167,54.14,9/11/19,2019,Water,post,17:05:00,12.9,2.5,W,0,0,3,,,,,,360,1750,22,16,1.11,21.9,2.3,2,7.4,-0.155025,0.6201195,,,,,,,
B0420_S112,4.65002824,225,14133,12511,88.52,11640,9001,63.69,8215,58.13,9/11/19,2019,Water,post,17:05:00,12.9,2.5,W,0,0,4,P_0184,0.8002,-0.14496,0.68415,1.015203,900,1745,20,13,1.08,25.6,2,1,7.5,-0.155025,0.6201195,,,,,,,
B0421_S113,4.790882586,229,9875,8824,89.36,8156,6390,64.71,5801,58.74,9/12/19,2019,Water,post,8:00:00,0,10,SE,0,,1,P_0185,0.80545,-0.15157,0.64145,1.959613,420,1120,15,5,1.25,30.4,4.5,0,7.6,-0.11097,2.550006,,,,,,,
B0422_S114,4.670614951,190,8248,7028,85.21,6574,5858,71.02,5704,69.16,9/12/19,2019,Water,post,8:00:00,0,10,SE,0,,2,,,,,,300,1702,15,15,1.17,30.2,1.1,0,7.6,-0.11097,2.550006,,,,,,,
B0423_S115,5.004505388,242,9902,8625,87.1,8015,6769,68.36,6521,65.86,9/12/19,2019,Water,post,8:00:00,0,10,SE,0,,3,,,,,,300,1702,17,15,1.14,44.6,2.5,1,7.6,-0.11097,2.550006,,,,,,,
B0424_S116,4.825271,207,8261,7264,87.93,6589,5036,60.96,4683,56.69,9/12/19,2019,Water,post,8:00:00,0,10,SE,0,,4,P_0186,0.7437,-0.07037,0.60415,3.140399,420,1657,17,11,1.65,37.6,0.8,2,7.7,-0.11097,2.550006,,,,,,,
B0427_S119,4.737968046,160,5602,4636,82.76,4103,3027,54.03,2787,49.75,9/12/19,2019,Water,post,11:00:00,0,0,,0,,3,,,,,,300,1665,22,29,1.18,45.8,6.4,0,7.6,-0.126035,2.1991485,,,,,,,
B0428_S120,4.958699458,221,8351,7333,87.81,6506,4439,53.16,4068,48.71,9/12/19,2019,Water,post,11:00:00,0,0,,0,,4,P_0188,0.82245,-0.17266,0.7414,0.203722,360,1641,20.6,9,1.26,52,0.9,1,7.6,-0.126035,2.1991485,,,,,,,
B0429_S121,4.25050433,114,3487,2837,81.36,2514,2201,63.12,2129,61.06,9/12/19,2019,Water,post,14:09:00,0,,W,0,0,1,P_0189,0.76565,-0.10009,0.81855,-0.3989,110,1720,21.3,59,1.51,46.8,2.5,,,-0.086605,0.5304625,,,,,,,
B0431_S123,4.745897114,192,6465,5220,80.74,4687,3773,58.36,3632,56.18,9/12/19,2019,Water,post,14:09:00,0,,W,0,0,3,,,,,,70,1606,20.5,74,1.17,41.2,3.3,0,7.6,-0.086605,0.5304625,,,,,,,
B0432_S124,4.939944905,229,9748,8640,88.63,7797,5473,56.14,4954,50.82,9/12/19,2019,Water,post,14:09:00,0,,W,0,0,4,P_0190,0.7457,-0.07312,0.662,1.459825,330,1683,21,20,1.05,45.2,1.9,0,7.5,-0.086605,0.5304625,,,,,,,
B0439_S127,5.309490622,333,14172,12740,89.9,11564,8318,58.69,7811,55.12,9/13/19,2019,Water,post,8:03:00,20.2,1.9,E,7.8,0,3,,,,,,250,1667,20.5,58,1.13,30.3,2,1.5,7.5,-0.102185,0.4386735,,,,,,,
B0440_S128,5.219656843,338,18462,16606,89.95,14961,9889,53.56,9002,48.76,9/13/19,2019,Water,post,8:03:00,20.2,1.9,E,7.8,0,4,P_0194,0.7681,-0.10335,0.73055,0.327209,480,1631,19,12,1.26,27.4,1,2,7.5,-0.102185,0.4386735,,,,,,,
B0442_S130,4.709748984,203,9278,8083,87.12,7435,5408,58.29,5031,54.23,9/13/19,2019,Water,post,10:57:00,12.7,2,SE,7.8,0,2,,,,,,145,1732,22.2,12,1.42,29.2,3.3,0,7.5,-0.129555,1.789596,,,,,,,
B0443_S131,5.174639134,297,13890,12458,89.69,11151,6937,49.94,6344,45.67,9/13/19,2019,Water,post,10:57:00,12.7,2,SE,7.8,0,3,,,,,,360,1711,21.6,40,1.23,27.7,2.4,0,7.4,-0.129555,1.789596,,,,,,,
B0444_S132,5.042981725,260,12140,10867,89.51,9642,5914,48.71,5289,43.57,9/13/19,2019,Water,post,10:57:00,12.7,2,SE,7.8,0,4,P_0196,0.7971,-0.14102,0.6648,1.398605,480,1731,19.4,13,1.17,28.5,1.4,0,7.4,-0.129555,1.789596,,,,,,,
B0445_S133,4.176717081,103,2693,2347,87.15,2036,1695,62.94,1616,60.01,9/13/19,2019,Water,post,14:04:00,10.9,3,W,0,10,1,P_0197,0.7635,-0.09722,0.60975,2.936874,290,1678,22.6,20,1.33,29,8.3,3,7.5,-0.08743,2.188426,,,,,,,
B0446_S134,5.155773517,264,12310,10884,88.42,9840,6001,48.75,5510,44.76,9/13/19,2019,Water,post,14:04:00,10.9,3,W,0,10,2,,,,,,260,1700,24.9,5,1.28,25.5,4.4,4,7.5,-0.08743,2.188426,,,,,,,
B0447_S135,5.313897996,299,14263,12815,89.85,11566,6978,48.92,6144,43.08,9/13/19,2019,Water,post,14:04:00,10.9,3,W,0,10,3,,,,,,240,1659,26.7,21,1.19,27,2.8,3,7.4,-0.08743,2.188426,,,,,,,
B0448_S136,5.116091128,290,17436,15471,88.73,14089,8658,49.66,7686,44.08,9/13/19,2019,Water,post,14:04:00,10.9,3,W,0,10,4,P_0198,0.749,-0.07764,0.6629,1.439978,780,1699,23.4,4,1.18,29.1,6.1,3,7.4,-0.08743,2.188426,,,,,,,
B0449_S137,3.752848254,68,1671,1461,87.43,1260,1105,66.13,1057,63.26,9/13/19,2019,Water,post,17:07:00,10.4,1.9,W,0,5,1,P_0199,0.7785,-0.11705,0.68135,1.066637,310,1702,23.2,13,1.43,23.9,7,3,7.5,-0.124565,2.145871,,,,,,,
B0450_S138,5.256471437,320,17762,15808,89,14427,9408,52.97,8479,47.74,9/13/19,2019,Water,post,17:07:00,10.4,1.9,W,0,5,2,,,,,,160,1675,25.7,23,1.32,22.5,3.5,3,7.4,-0.124565,2.145871,,,,,,,
B0451_S139,5.042053763,246,10990,9737,88.6,8666,5003,45.52,4547,41.37,9/13/19,2019,Water,post,17:07:00,10.4,1.9,W,0,5,3,,,,,,180,1718,22.8,36,1.19,24.4,2.6,2.5,7.4,-0.124565,2.145871,,,,,,,
